,Product Name,Price,Product Link
87,Itel It 2173 Dual Sim - 32MB ROM - 32MB RAM - Black & i12 Wireless Ear bud Combo ,GH₵ 110.00,/itel-it-2173-dual-sim-32mb-rom-32mb-ram-black-i12-wireless-ear-bud-combo-17120215.html
88,Nokia New C Series C2-01 Black Gold English Hebrew Keyboard Bar Phone Smart 2 Inch Screen Camera,GH₵ 210.00,/nokia-new-c-series-c2-01-black-gold-english-hebrew-keyboard-bar-phone-smart-2-inch-screen-camera-7113605.html
89,Itel 2160 Dual SIM - 800maH - 32MB ROM - 4MB RAM - Dark Blue,GH₵ 74.00,/itel-2160-dual-sim-800mah-32mb-rom-4mb-ram-dark-blue-16126470.html
90,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00,/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-black-22654156.html
91,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00,/generic-fingerprint-touch-noise-cancelling-stereo-bluetooth-headset-black-31815088.html
92,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00,/generic-tripod-mobile-phone-camera-foldable-stand-holder-table-smartphone-tripod-16841886.html
93,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00,/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-black-41951199.html
94,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00,/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
95,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00,/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-white-22654157.html
96,P47 Wireless Headset - White,GH₵ 29.47,/wireless-headset-white-p47-mpg454476.html
97,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 18.00,/generic-universal-adjustable-desktop-tablet-stands-phone-holder-bracket-for-ipad-phone-tablet-stand-mount-30100742.html
98,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00,/generic-c3-bluetooth-5.0-wireless-headsets-10d-stereo-headphones-with-led-sports-earphone-pro3-33321072.html
99,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80,/wireless-bluetooth-earphones-white-tws-mpg430467.html
100,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00,/wireless-bluetooth-headset-with-fm-radio-feature-black-p47-mpg440772.html
101,Smart Bluetooth watches for ios and Android bands,GH₵ 30.00,/generic-smart-bluetooth-watches-for-ios-and-android-bands-31659428.html
102,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00,/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-black-22600679.html
103,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 33.00,/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-white-22600678.html
104,Lenovo XT90 BT5.0 True Wireless Headsets In-ear Sweatproof white,GH₵ 55.00,/lenovo-xt90-bt5.0-true-wireless-headsets-in-ear-sweatproof-white-32161465.html
105,Wireless Bluetooth Earphones - White,GH₵ 45.00,/air-3-pro-bluetooth-wireless-earphones-white-generic-mpg448815.html
106,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 58.00,/air-pro-6-bluetooth-earphone-earbuds-hifi-stereo-touch-sensor-control-mic-for-android-ios-tws-mpg453585.html
107,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00,/generic-f9-32-stereo-v5.1-bluetooth-earphone-power-banks-38610988.html
108,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00,/micro-sd-memory-card-32gb-black-generic-mpg429117.html
109,Lenovo TC02 Wireless Bluetooth Headset Similar To Xiaomi Aird Ots,GH₵ 87.00,/lenovo-tc02-wireless-bluetooth-headset-similar-to-xiaomi-aird-ots-22655169.html
110,New I5 Smartwatch - Pink,GH₵ 47.00,/generic-new-i5-smartwatch-pink-22272517.html
111,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00,/itel-a16-plus-8gb-hdd-1gb-ram-phantom-black-free-gifts-33067473.html
112,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00,/wireless-bluetooth-5.0-waterproof-headphones-black-generic-mpg456030.html
113,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 542.71,/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
114,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 69.00,/m11-t-ws-lcd-bluetooth-5.0-wireless-headphones-black-generic-mpg454355.html
115,Lenovo HE01 BT 5.0 Neckband Wireless Earphones Waterproof w/MIC Line Control,GH₵ 22.00,/lenovo-he01-bt-5.0-neckband-wireless-earphones-waterproof-wmic-line-control-30987908.html
116,Heart Rate Sport Bracelet Smart Watch - Black,GH₵ 32.00,/generic-heart-rate-sport-bracelet-smart-watch-black-31662908.html
117,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 34.00,/v9-earhook-wireless-bluetooth-earphone-csr-noise-cancelling-earpiece-headset-portable-14746697.html
118,116 Plus Waterproof Smart Watch - Black,GH₵ 31.00,/generic-116-plus-waterproof-smart-watch-black-13349944.html
119,Bluetooth Wireless  Headphone Stereo In-ear Headphone LED digital display,GH₵ 41.00,/generic-bluetooth-wireless-headphone-stereo-in-ear-headphone-led-digital-display-30037028.html
120,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00,/generic-smart-watch-with-camera-sim-card-slot-black-15811084.html
121,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00,/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
122,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 75.00,/wireless-bluetooth-headset-2000mah-black-generic-mpg454368.html
123,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98,/tws-i12tws-wireless-bluetooth-5.0-sport-headset-white-19852625.html
124,Color screen smart watch heart rate sport bracelet,GH₵ 33.00,/generic-color-screen-smart-watch-heart-rate-sport-bracelet-31659499.html
125,Pro 6 Bluetooth Earphone - White,GH₵ 49.00,/generic-pro-6-bluetooth-earphone-white-32552474.html
126,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04,/l7-smartphone-32gb-hdd-2gb-ram-black-tcl-mpg441224.html
127,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00,/generic-bluetooth-5.0-earphones-2200mah-wireless-headphone-18121141.html
128,"GT20 1.69 inch TFT Screen IP67 Waterproof Smart Watch, Style:Steel Strap(Black)",GH₵ 121.00,/generic-gt20-1.69-inch-tft-screen-ip67-waterproof-smart-watch-stylesteel-strapblack-31566347.html
129,2Pcs Portable Speaker High-Volume Subwoofer USB-Black,GH₵ 35.00,/generic-2pcs-portable-speaker-high-volume-subwoofer-usb-black-31777702.html
